Germany,Miroslav Klose,37' ejection - red card for second yellow,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Neven Subotic,57' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Nemanja Vidic,59' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Bastian Schweinsteiger,73' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
,,,http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
,,,http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
Uruguay,Horacio Troche,49' ejection - straight red card,http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
Uruguay,Hector Silva,54' ejection - straight red card,http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
Uruguay,Hector Silva,yellow card	   
				  		   (unknown minute),http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
West Germany,Wolfgang Weber,yellow card	   
				  		   (unknown minute),http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
West Germany,Andreas Brehme,6' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
,,,http://thesoccerworldcups.com/games/2002_germany_usa.php
,,,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Eddie Lewis,40' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Eddie Pope,41' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
Germany,Sebastian Kehl,66' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Claudio Reyna,68' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
Germany,Jens Jeremies,68' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Pablo Mastroeni,69' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
USA,Gregg Berhalter,70' yellow card,http://thesoccerworldcups.com/games/2002_germany_usa.php
,,,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
,,,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
West Germany,Berti Vogts,3' yellow card,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Holland,Wim Van Hanegem,22' yellow card,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Holland,Johan Neeskens,39' yellow card,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Holland,Johan Cruyff,45' yellow card,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
,,,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
,,,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Andriy Rusol,17' yellow card,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Vladyslav Vashchuk,47' ejection - straight red card,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Ukraine,Vladimir Yezerskyi,53' yellow card,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
,,,http://thesoccerworldcups.com/games/1998_italy_norway.php
,,,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Havard Flo,35' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
Italy,Francesco Moriero,38' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Erik Mykland,54' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
Norway,Kjetil Rekdal,62' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
Italy,Luigi Di Biagio,84' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
Italy,Paolo Maldini,89' yellow card,http://thesoccerworldcups.com/games/1998_italy_norway.php
,,,http://thesoccerworldcups.com/games/1994_holland_brazil.php
,,,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Holland,Aron Winter,40' yellow card,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Brazil,Dunga,74' yellow card,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Holland,Jan Wouters,89' yellow card,http://thesoccerworldcups.com/games/1994_holland_brazil.php
,,,http://thesoccerworldcups.com/games/2010_slovenia_england.php
,,,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Slovenia,Bojan Jokic,40' yellow card,http://thesoccerworldcups.com/games/2010_slovenia_england.php
England,Glen Johnson,48' yellow card,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Slovenia,Valter Birsa,79' yellow card,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Slovenia,Zlatko Dedic,81' yellow card,http://thesoccerworldcups.com/games/2010_slovenia_england.php
,,,http://thesoccerworldcups.com/games/1990_italy_argentina.php
,,,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Italy,Giuseppe Giannini,22' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Ricardo Giusti,30' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Oscar Ruggeri,70' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Julio Olarticoechea,76' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Claudio Caniggia,82' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Ricardo Giusti,103' ejection - red card for second yellow,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Argentina,Sergio Batista,120' yellow card,http://thesoccerworldcups.com/games/1990_italy_argentina.php
,,,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
,,,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Nikola Zigic,19' yellow card,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Ghana,Isaac Vorsah,26' yellow card,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Aleksandar Lukovic,54' yellow card,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Aleksandar Lukovic,74' ejection - red card for second yellow,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Serbia,Zdravko Kuzmanovic,83' yellow card,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
Ghana,Prince Tagoe,89' yellow card,http://thesoccerworldcups.com/games/2010_serbia_ghana.php
,,,http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
,,,http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
Brazil,Denilson,yellow card	   
				  		   (unknown minute),http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
Bulgaria,Dobromir Zechev,yellow card	   
				  		   (unknown minute),http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
Bulgaria,Ivan Kolev,yellow card	   
				  		   (unknown minute),http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
,,,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
,,,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Slovenia,Aleksandar Radosavljevic,35' yellow card,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Algeria,Abdelkader Ghezzal,59' yellow card,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Algeria,Abdelkader Ghezzal,73' ejection - red card for second yellow,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Slovenia,Andrej Komac,90'+3' yellow card,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Algeria,Hassan Yebda,90'+5' yellow card,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
,,,http://thesoccerworldcups.com/games/1994_argentina_greece.php
,,,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Greece,Giotis Tsalouchidis,25' yellow card,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Argentina,Fernando Caceres,40' yellow card,http://thesoccerworldcups.com/games/1994_argentina_greece.php
Greece,Stelios Manolas,55' yellow card,http://thesoccerworldcups.com/games/1994_argentina_greece.php
,,,http://thesoccerworldcups.com/games/1998_france_denmark.php
,,,http://thesoccerworldcups.com/games/1998_france_denmark.php
France,Bernard Diomede,53' yellow card,http://thesoccerworldcups.com/games/1998_france_denmark.php
France,Patrick Vieira,62' yellow card,http://thesoccerworldcups.com/games/1998_france_denmark.php
Denmark,Soren Colding,65' yellow card,http://thesoccerworldcups.com/games/1998_france_denmark.php
Denmark,Stig Tofting,78' yellow card,http://thesoccerworldcups.com/games/1998_france_denmark.php
,,,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
,,,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
Czechoslovakia,Lubos Kubik,30' yellow card,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
USA,Tony Meola,39' yellow card,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
USA,Steve Trittschuh,44' yellow card,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
USA,Eric Wynalda,52' ejection - straight red card,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
Czechoslovakia,Miroslav Kadlec,62' yellow card,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
,,,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
,,,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
South Korea,Eul Yong Lee,23' yellow card,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Turkey,Tugay Kerimoglu,50' yellow card,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Turkey,Rustu Recber,83' yellow card,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
,,,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
,,,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Sweden,Glenn Stromberg,18' yellow card,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Costa Rica,Roger Gomez,28' yellow card,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Costa Rica,Hector Marchena,53' yellow card,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Sweden,Stefan Schwarz,74' yellow card,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
,,,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
,,,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Brazil,Aldair,23' yellow card,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Sweden,Hakan Mild,83' yellow card,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
,,,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
,,,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
Greece,Vasileios Torosidis,56' yellow card,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Frank Rijkaard,20' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
West Germany,Rudi Voeller,21' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Frank Rijkaard,22' ejection - straight red card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
West Germany,Rudi Voeller,22' ejection - straight red card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Jan Wouters,32' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Holland,Marco Van Basten,72' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
West Germany,Lothar Matthaeus,77' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_holland.php
,,,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
,,,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Jean-Paul Abalo,23' yellow card,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Alaixys Romao,24' yellow card,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
South Korea,Young Chul Kim,41' yellow card,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
South Korea,Chun Soo Lee,51' yellow card,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Jean-Paul Abalo,53' ejection - red card for second yellow,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Massamasso Tchangai,90'+2' yellow card,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
,,,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
,,,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
Yugoslavia,Dragoljub Brnovic,20' yellow card,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
United Arab Emirates,Khaleel Ghanim,36' yellow card,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
Yugoslavia,Refik Sabanadzovic,66' yellow card,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
United Arab Emirates,Khaleel Ghanim,76' ejection - red card for second yellow,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
Yugoslavia,Darko Pancev,76' yellow card,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
,,,http://thesoccerworldcups.com/games/1990_argentina_romania.php
,,,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Romania,Marius Lacatus,4' yellow card,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Romania,Gheorghe Hagi,8' yellow card,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Romania,Ioan Lupescu,32' yellow card,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Argentina,Jose Serrizuela,73' yellow card,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Argentina,Sergio Batista,86' yellow card,http://thesoccerworldcups.com/games/1990_argentina_romania.php
