Game||||||
19.|Brazil|Costa Rica|1 - 0|../games/1990_brazil_costa_rica.php|1st Round, Group C|1990_group_c.php
20.|Sweden|Scotland|1 - 2|../games/1990_sweden_scotland.php|1st Round, Group C|1990_group_c.php
21.|England|Holland|0 - 0|../games/1990_england_holland.php|1st Round, Group F|1990_group_f.php
22.|Ireland|Egypt|0 - 0|../games/1990_ireland_egypt.php|1st Round, Group F|1990_group_f.php
23.|Belgium|Uruguay|3 - 1|../games/1990_belgium_uruguay.php|1st Round, Group E|1990_group_e.php
24.|South Korea|Spain|1 - 3|../games/1990_south_korea_spain.php|1st Round, Group E|1990_group_e.php
25.|Argentina|Romania|1 - 1|../games/1990_argentina_romania.php|1st Round, Group B|1990_group_b.php
26.|Cameroon|Soviet Union|0 - 4|../games/1990_cameroon_soviet_union.php|1st Round, Group B|1990_group_b.php
27.|West Germany|Colombia|1 - 1|../games/1990_west_germany_colombia.php|1st Round, Group D|1990_group_d.php
28.|Yugoslavia|United Arab Emirates|4 - 1|../games/1990_yugoslavia_united_arab_emirates.php|1st Round, Group D|1990_group_d.php
29.|Italy|Czechoslovakia|2 - 0|../games/1990_italy_czechoslovakia.php|1st Round, Group A|1990_group_a.php
30.|Austria|USA|2 - 1|../games/1990_austria_usa.php|1st Round, Group A|1990_group_a.php
31.|Brazil|Scotland|1 - 0|../games/1990_brazil_scotland.php|1st Round, Group C|1990_group_c.php
32.|Sweden|Costa Rica|1 - 2|../games/1990_sweden_costa_rica.php|1st Round, Group C|1990_group_c.php
33.|Belgium|Spain|1 - 2|../games/1990_belgium_spain.php|1st Round, Group E|1990_group_e.php
34.|South Korea|Uruguay|0 - 1|../games/1990_south_korea_uruguay.php|1st Round, Group E|1990_group_e.php
35.|England|Egypt|1 - 0|../games/1990_england_egypt.php|1st Round, Group F|1990_group_f.php
36.|Ireland|Holland|1 - 1|../games/1990_ireland_holland.php|1st Round, Group F|1990_group_f.php
37.|Cameroon|Colombia|2 - 1|../games/1990_cameroon_colombia.php|1st Round, Group F|1990_group_f.php
38.|Czechoslovakia|Costa Rica|4 - 1|../games/1990_czechoslovakia_costa_rica.php|1st Round, Group F|1990_group_f.php
39.|Brazil|Argentina|0 - 1|../games/1990_brazil_argentina.php|1st Round, Group F|1990_group_f.php
40.|West Germany|Holland|2 - 1|../games/1990_west_germany_holland.php|1st Round, Group F|1990_group_f.php
41.|Ireland|Romania|0 - 0|../games/1990_ireland_romania.php|1st Round, Group F|1990_group_f.php
42.|Italy|Uruguay|2 - 0|../games/1990_italy_uruguay.php|1st Round, Group F|1990_group_f.php
43.|Spain|Yugoslavia|1 - 2|../games/1990_spain_yugoslavia.php|1st Round, Group F|1990_group_f.php
44.|England|Belgium|1 - 0|../games/1990_england_belgium.php|1st Round, Group F|1990_group_f.php
45.|Argentina|Yugoslavia|0 - 0|../games/1990_argentina_yugoslavia.php|1st Round, Group F|1990_group_f.php
46.|Italy|Ireland|1 - 0|../games/1990_italy_ireland.php|1st Round, Group F|1990_group_f.php
47.|West Germany|Czechoslovakia|1 - 0|../games/1990_west_germany_czechoslovakia.php|1st Round, Group F|1990_group_f.php
48.|Cameroon|England|2 - 3|../games/1990_cameroon_england.php|1st Round, Group F|1990_group_f.php
49.|Italy|Argentina|1 - 1|../games/1990_italy_argentina.php|1st Round, Group F|1990_group_f.php
50.|England|West Germany|1 - 1|../games/1990_england_west_germany.php|1st Round, Group F|1990_group_f.php
51.|Italy|England|2 - 1|../games/1990_italy_england.php|1st Round, Group F|1990_group_f.php
52.|Argentina|West Germany|0 - 1|../games/1990_argentina_west_germany.php|1st Round, Group F|1990_group_f.php
Game||||||
1.|Argentina|Belgium|0 - 1|../games/1982_argentina_belgium.php|1st Round, Group C|1982_group_c.php
2.|Brazil|Soviet Union|2 - 1|../games/1982_brazil_soviet_union.php|1st Round, Group F|1982_group_f.php
