Togo,Minute 62,Richmond Forson,Ludovic Assemoassa,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Togo,Minute 86,Yao Aziawonou,Moustapha Salifou,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Yugoslavia,Minute 64,Zoran Vulic,Zlatko Vujovic,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
Yugoslavia,Minute 78,Robert Prosinecki,Refik Sabanadzovic,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
United Arab Emirates,Minute 35,Abdullah Sultan,Nasir Khamees,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
United Arab Emirates,Minute 46 (in the break),Fahad Khamees,Ali Thani Jumaa,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
Argentina,Minute 53,Ricardo Giusti,Pedro Troglio,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Argentina,Minute 60,Gustavo Dezotti,Jorge Burruchaga,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Romania,Minute 72,Danut Lupu,Gavril Balint,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Romania,Minute 82,Dorin Mateut,Ioan Sabau,http://thesoccerworldcups.com/games/1990_argentina_romania.php
Brazil,Minute 67,Dani Alves,Elano,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Brazil,Minute 90+3,Ramires,Robinho,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Ivory Coast,Minute 54,Gervinho,Aruna Dindane,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Ivory Coast,Minute 68,Kader Keita,Salomon Kalou,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Ivory Coast,Minute 72,Romaric,Emmanuel Eboue,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Spain,Minute 66,Gaizka Mendieta,De Pedro,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Minute 72,David Albelda,Fernando Morientes,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Minute 80,Albert Luque,Raul,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Ireland,Minute 50,Kenny Cunningham,Steve Staunton,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Ireland,Minute 55,Niall Quinn,Gary Kelly,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Ireland,Minute 82,David Connolly,Ian Harte,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Minute 46,Cesc Fabregas,Marcos Senna,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Spain,Minute 46,Raul,Luis Garcia,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Spain,Minute 57,Joaquin,David Villa,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Minute 57,Alaeddine Yahia,Anis Ayari,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Minute 57,Kais Ghodhbane,Riadh Bouazizi,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Minute 80,Haykel Guemamdia,Adel Chedli,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Saudi Arabia,Minute 13,Nawaf Al Temiyat,Khaled Aziz,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Saudi Arabia,Minute 68,Malek Al Hawsawi,Sami Al Jaber,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Saudi Arabia,Minute 81,Mohammed Massad,Hussein Al Sulaimani,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,Minute 46,David Villa,Raul,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,Minute 66,Xavi,Cesc Fabregas,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,Minute 70,Fernando Torres,Jose Antonio Reyes,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Sweden,Minute 79,Anders Limpar,Henrik Larsson,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Bulgaria,Minute 42,Emil Kremenliev,Trifon Ivanov,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Bulgaria,Minute 46 (in the break),Plamen Nikolov,Borislav Mikhailov,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Bulgaria,Minute 46 (in the break),Ivaylo Yordanov,Nasko Sirakov,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Romania,Minute 72,Ovidiu Stanga,Gheorghe Hagi,http://thesoccerworldcups.com/games/1998_romania_england.php
Romania,Minute 81,Lucian Marinescu,Ovidiu Stanga,http://thesoccerworldcups.com/games/1998_romania_england.php
Romania,Minute 86,Marius Lacatus,Viorel Moldovan,http://thesoccerworldcups.com/games/1998_romania_england.php
England,Minute 32,David Beckham,Paul Ince,http://thesoccerworldcups.com/games/1998_romania_england.php
England,Minute 72,Michael Owen,Teddy Sheringham,http://thesoccerworldcups.com/games/1998_romania_england.php
Cameroon,Minute 54,Roger Milla,Louis Mfede,http://thesoccerworldcups.com/games/1990_cameroon_colombia.php
Cameroon,Minute 69,Boneventure Djonkep,Cyrille Makanaky,http://thesoccerworldcups.com/games/1990_cameroon_colombia.php
Colombia,Minute 63,Arnoldo Iguaran,Luis Fajardo,http://thesoccerworldcups.com/games/1990_cameroon_colombia.php
Colombia,Minute 79,Bernardo Redin,Gabriel Gomez,http://thesoccerworldcups.com/games/1990_cameroon_colombia.php
Uruguay,Minute 77,Victor Esparrago,Ildo Maneiro,http://thesoccerworldcups.com/games/1970_uruguay_brazil.php
Bulgaria,Minute 104,Boncho Genchev,Nasko Sirakov,http://thesoccerworldcups.com/games/1994_mexico_bulgaria.php
Bulgaria,Minute 119,Petar Mikhtarski,Emil Kostadinov,http://thesoccerworldcups.com/games/1994_mexico_bulgaria.php
Denmark,Minute 60,John Eriksen,Henrik Andersen,http://thesoccerworldcups.com/games/1986_denmark_spain.php
