West Germany,Yugoslavia,4,1,|Lothar Matthaeus   28' |Juergen Klinsmann   39' | |Lothar Matthaeus   64' |Rudi Voeller   70' ,55'  Davor Jozic,http://thesoccerworldcups.com/games/1990_west_germany_yugoslavia.php
Germany,USA,1,0,|Michael Ballack   39' ,,http://thesoccerworldcups.com/games/2002_germany_usa.php
Brazil,Sweden,4,2,| | | Romeu   44' | Leonidas   63' | Leonidas   74' | Peracio   80' ,28'  Sven Jonasson38'  Arne Nyberg,http://thesoccerworldcups.com/games/1938_brazil_sweden.php
Holland,West Germany,1,2,|Johan Neeskens  (penalty)  2' | | ,25'  Paul Breitner  (penalty)43'  Gerd Mueller,http://thesoccerworldcups.com/games/1974_holland_west_germany.php
Spain,Ukraine,4,0,| Xabi Alonso   13' |David Villa   17' |David Villa  (penalty)  48' |Fernando Torres   81' ,,http://thesoccerworldcups.com/games/2006_spain_ukraine.php
Italy,Norway,1,0,|Christian Vieri   18' ,,http://thesoccerworldcups.com/games/1998_italy_norway.php
Yugoslavia,Bolivia,4,0,|Ivica Bek   60' |Blagoje Marjanovic   65' |Ivica Bek   67' |Djordje Vujadinovic   85' ,,http://thesoccerworldcups.com/games/1930_yugoslavia_bolivia.php
,,,,,,http://thesoccerworldcups.com/games/1954_hungary_uruguay.php
Holland,Brazil,2,3,| | |Dennis Bergkamp   64' |Aron Winter   76' | ,53'   Romario63'   Bebeto81'   Branco,http://thesoccerworldcups.com/games/1994_holland_brazil.php
Slovenia,England,0,1,| ,23'  Jermain Defoe,http://thesoccerworldcups.com/games/2010_slovenia_england.php
Italy,Argentina,1,1,|Salvatore Schillaci   17' | | Franco Baresi 
						,67'  Claudio Caniggia,http://thesoccerworldcups.com/games/1990_italy_argentina.php
Uruguay,Spain,2,2,|Alcides Ghiggia   29' | | |Obdulio Varela   73' ,37'  Estanislao Basora39'  Estanislao Basora,http://thesoccerworldcups.com/games/1950_uruguay_spain.php
Serbia,Ghana,0,1,| ,85'  Asamoah Gyan  (penalty),http://thesoccerworldcups.com/games/2010_serbia_ghana.php
,,,,,,http://thesoccerworldcups.com/games/1966_argentina_switzerland.php
Brazil,Bulgaria,2,0,| Pelé   15' | Garrincha   63' ,,http://thesoccerworldcups.com/games/1966_brazil_bulgaria.php
Algeria,Slovenia,0,1,| ,79'  Robert Koren,http://thesoccerworldcups.com/games/2010_algeria_slovenia.php
Argentina,Greece,4,0,|Gabriel Batistuta   2' |Gabriel Batistuta   44' |Diego Maradona   60' |Gabriel Batistuta  (penalty)  90' ,,http://thesoccerworldcups.com/games/1994_argentina_greece.php
France,Denmark,2,1,|Youri Djorkaeff  (penalty)  12' | |Emmanuel Petit   56' ,42'  Michael Laudrup  (penalty),http://thesoccerworldcups.com/games/1998_france_denmark.php
