4.|Togo|0|3|0|0|3|1|6|-5|No|http://thesoccerworldcups.com/world_cups/2006_group_g.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1998_group_e.php
1.|Holland|5|3|1|2|0|7|2|5|Yes|http://thesoccerworldcups.com/world_cups/1998_group_e.php
2.|Mexico|5|3|1|2|0|7|5|2|Yes|http://thesoccerworldcups.com/world_cups/1998_group_e.php
3.|Belgium|3|3|0|3|0|3|3|0|No|http://thesoccerworldcups.com/world_cups/1998_group_e.php
4.|South Korea|1|3|0|1|2|2|9|-7|No|http://thesoccerworldcups.com/world_cups/1998_group_e.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1974_group_2.php
1.|Yugoslavia|4|3|1|2|0|10|1|9|Yes|http://thesoccerworldcups.com/world_cups/1974_group_2.php
2.|Brazil|4|3|1|2|0|3|0|3|Yes|http://thesoccerworldcups.com/world_cups/1974_group_2.php
3.|Scotland|4|3|1|2|0|3|1|2|No|http://thesoccerworldcups.com/world_cups/1974_group_2.php
4.|Zaire|0|3|0|0|3|0|14|-14|No|http://thesoccerworldcups.com/world_cups/1974_group_2.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1950_group_4.php
1.|Uruguay|2|1|1|0|0|8|0|8|Yes|http://thesoccerworldcups.com/world_cups/1950_group_4.php
2.|Bolivia|0|1|0|0|1|0|8|-8|No|http://thesoccerworldcups.com/world_cups/1950_group_4.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_e.php
1.|Spain|5|3|2|1|0|5|2|3|Yes|http://thesoccerworldcups.com/world_cups/1990_group_e.php
2.|Belgium|4|3|2|0|1|6|3|3|Yes|http://thesoccerworldcups.com/world_cups/1990_group_e.php
3.|Uruguay|3|3|1|1|1|2|3|-1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_e.php
4.|South Korea|0|3|0|0|3|1|6|-5|No|http://thesoccerworldcups.com/world_cups/1990_group_e.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1998_group_h.php
1.|Argentina|9|3|3|0|0|7|0|7|Yes|http://thesoccerworldcups.com/world_cups/1998_group_h.php
2.|Croatia|6|3|2|0|1|4|2|2|Yes|http://thesoccerworldcups.com/world_cups/1998_group_h.php
3.|Jamaica|3|3|1|0|2|3|9|-6|No|http://thesoccerworldcups.com/world_cups/1998_group_h.php
4.|Japan|0|3|0|0|3|1|4|-3|No|http://thesoccerworldcups.com/world_cups/1998_group_h.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1954_group_1.php
1.|Brazil|3|2|1|1|0|6|1|5|Yes|http://thesoccerworldcups.com/world_cups/1954_group_1.php
2.|Yugoslavia|3|2|1|1|0|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/1954_group_1.php
3.|France|2|2|1|0|1|3|3|0|No|http://thesoccerworldcups.com/world_cups/1954_group_1.php
4.|Mexico|0|2|0|0|2|2|8|-6|No|http://thesoccerworldcups.com/world_cups/1954_group_1.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1978_group_1.php
1.|Italy|6|3|3|0|0|6|2|4|Yes|http://thesoccerworldcups.com/world_cups/1978_group_1.php
2.|Argentina|4|3|2|0|1|4|3|1|Yes|http://thesoccerworldcups.com/world_cups/1978_group_1.php
3.|France|2|3|1|0|2|5|5|0|No|http://thesoccerworldcups.com/world_cups/1978_group_1.php
4.|Hungary|0|3|0|0|3|3|8|-5|No|http://thesoccerworldcups.com/world_cups/1978_group_1.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1998_group_c.php
1.|France|9|3|3|0|0|9|1|8|Yes|http://thesoccerworldcups.com/world_cups/1998_group_c.php
2.|Denmark|4|3|1|1|1|3|3|0|Yes|http://thesoccerworldcups.com/world_cups/1998_group_c.php
3.|South Africa|2|3|0|2|1|3|6|-3|No|http://thesoccerworldcups.com/world_cups/1998_group_c.php
4.|Saudi Arabia|1|3|0|1|2|2|7|-5|No|http://thesoccerworldcups.com/world_cups/1998_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1954_group_3.php
1.|Uruguay|4|2|2|0|0|9|0|9|Yes|http://thesoccerworldcups.com/world_cups/1954_group_3.php
2.|Austria|4|2|2|0|0|6|0|6|Yes|http://thesoccerworldcups.com/world_cups/1954_group_3.php
3.|Czechoslovakia|0|2|0|0|2|0|7|-7|No|http://thesoccerworldcups.com/world_cups/1954_group_3.php
4.|Scotland|0|2|0|0|2|0|8|-8|No|http://thesoccerworldcups.com/world_cups/1954_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2002_group_b.php
1.|Spain|9|3|3|0|0|9|4|5|Yes|http://thesoccerworldcups.com/world_cups/2002_group_b.php
2.|Paraguay|4|3|1|1|1|6|6|0|Yes|http://thesoccerworldcups.com/world_cups/2002_group_b.php
3.|South Africa|4|3|1|1|1|5|5|0|No|http://thesoccerworldcups.com/world_cups/2002_group_b.php
4.|Slovenia|0|3|0|0|3|2|7|-5|No|http://thesoccerworldcups.com/world_cups/2002_group_b.php
